grid,score,move,max_score,max_tile
"[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,up,5112,512
"[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0,right,5112,512
"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",4,up,5112,512
"[0, 2, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",8,up,5112,512
"[0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",16,right,5112,512
"[0, 0, 2, 8, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]",16,up,5112,512
"[2, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",16,right,5112,512
"[0, 0, 4, 8, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 0]",20,up,5112,512
"[4, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0]",24,up,5112,512
"[4, 0, 4, 8, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]",24,right,5112,512
"[0, 0, 8, 8, 0, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2]",32,up,5112,512
"[0, 2, 8, 8, 0, 0, 2, 4, 0, 0, 0, 2, 0, 2, 0, 0]",32,right,5112,512
"[0, 0, 2, 16, 0, 0, 2, 4, 0, 2, 0, 2, 0, 0, 0, 2]",48,up,5112,512
"[0, 2, 4, 16, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 2]",56,up,5112,512
"[0, 2, 4, 16, 0, 2, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0]",64,up,5112,512
"[0, 4, 4, 16, 0, 0, 0, 8, 0, 0, 0, 2, 2, 0, 0, 0]",68,right,5112,512
"[0, 0, 8, 16, 0, 0, 0, 8, 0, 0, 0, 2, 0, 2, 0, 2]",76,up,5112,512
"[0, 2, 8, 16, 0, 0, 0, 8, 0, 0, 0, 4, 4, 0, 0, 0]",80,right,5112,512
"[4, 2, 8, 16, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 4]",80,up,5112,512
"[4, 2, 8, 16, 0, 0, 0, 8, 0, 0, 0, 8, 0, 0, 0, 4]",88,up,5112,512
"[4, 2, 8, 16, 2, 0, 0, 16, 0, 0, 0, 4, 0, 0, 0, 0]",104,up,5112,512
"[4, 2, 8, 32, 2, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0]",136,right,5112,512
"[4, 2, 8, 32, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0, 2]",136,up,5112,512
"[4, 2, 8, 32, 0, 0, 2, 8, 0, 0, 0, 2, 0, 2, 0, 0]",144,up,5112,512
"[4, 4, 8, 32, 0, 0, 2, 8, 0, 0, 2, 2, 0, 0, 0, 0]",148,right,5112,512
